Rank,School,Type,Grades,Address,City,Zip,County,District,Is Charter,Is Magnet,Is Virtual,Is Title I,Year
406,Terra Nova High,Public,12-Sep,1450 Terra Nova Blvd.,Pacifica,94044,San Mateo,Jefferson Union High,No,No,No,No,2015
407,El Camino High,Public,12-Sep,1320 Mission Rd.,South San Francisco,94080,San Mateo,South San Francisco Unified,No,No,No,No,2015
568,Capuchino High,Public,12-Sep,1501 Magnolia Ave.,San Bruno,94066,San Mateo,San Mateo Union High,No,No,No,No,2015
573,Sequoia High,Public,12-Sep,1201 Brewster Ave.,Redwood City,94062,San Mateo,Sequoia Union High,No,No,No,Yes,2015
581,South San Francisco High,Public,12-Sep,400 B St.,South San Francisco,94080,San Mateo,South San Francisco Unified,No,No,No,No,2015
606,Half Moon Bay High,Public,12-Sep,1 Lewis Foster Dr.,Half Moon Bay,94019,San Mateo,Cabrillo Unified,No,No,No,Yes,2015
652,Woodside High,Public,12-Sep,199 Churchill Ave.,Woodside,94062,San Mateo,Sequoia Union High,No,No,No,Yes,2015
694,Westmoor High,Public,12-Sep,131 W.moor Ave.,Daly City,94015,San Mateo,Jefferson Union High,No,No,No,No,2015
845,Jefferson High,Public,12-Sep,6996 Mission St.,Daly City,94014,San Mateo,Jefferson Union High,No,No,No,Yes,2015
877,Pescadero High,Public,12-Sep,350 Butano Cut Off,Pescadero,94060,San Mateo,La Honda-Pescadero Unified,No,No,No,Yes,2015
1648,Peninsula High,Public,12-Sep,300 Piedmont Ave.,San Bruno,94066,San Mateo,San Mateo Union High,No,No,No,Yes,2015
1806,Redwood High,Public,12-Sep,1968 Old Co Rd.,Redwood City,94063,San Mateo,Sequoia Union High,No,No,No,Yes,2015
1809,Thornton High,Public,12-Sep,115 First Ave.,Daly City,94014,San Mateo,Jefferson Union High,No,No,No,No,2015
193,Burlingame High,Public,12-Sep,1 Mangini Way,Burlingame,94010,San Mateo,San Mateo Union High,No,No,No,No,2013
202,Mills High,Public,12-Sep,400 Murchison Dr.,Millbrae,94030,San Mateo,San Mateo Union High,No,No,No,No,2013
205,Summit Preparatory Charter High,"Public, Charter",12-Sep,890 BRd.way,Redwood City,94063,San Mateo,Sequoia Union High,Yes,No,No,Yes,2013
208,Carlmont High,"Public, Magnet",12-Sep,1400 Alameda de Las Pulgas,Belmont,94002,San Mateo,Sequoia Union High,No,Yes,No,No,2013
262,Aragon High,Public,12-Sep,900 Alameda de Las Pulgas,San Mateo,94402,San Mateo,San Mateo Union High,No,No,No,No,2013
271,Menlo-Atherton High,Public,12-Sep,555 Midfield Rd.,Atherton,94025,San Mateo,Sequoia Union High,No,No,No,No,2013
310,Everest Public High,"Public, Charter",12-Sep,455 Fifth Ave,Redwood City,94063,San Mateo,SBE - Everest Public High,Yes,No,(n/a),Yes,2013
338,Oceana High,Public,12-Sep,401 Paloma Ave.,Pacifica,94044,San Mateo,Jefferson Union High,No,No,No,No,2013
357,Hillsdale High,Public,12-Sep,3115 Del Monte St.,San Mateo,94403,San Mateo,San Mateo Union High,No,No,No,No,2013
364,Terra Nova High,Public,12-Sep,1450 Terra Nova Blvd.,Pacifica,94044,San Mateo,Jefferson Union High,No,No,No,No,2013
400,Half Moon Bay High,Public,12-Sep,1 Lewis Foster Dr.,Half Moon Bay,94019,San Mateo,Cabrillo Unified,No,No,No,Yes,2013
404,Capuchino High,Public,12-Sep,1501 Magnolia Ave.,San Bruno,94066,San Mateo,San Mateo Union High,No,No,No,No,2013
424,Sequoia High,Public,12-Sep,1201 Brewster Ave.,Redwood City,94062,San Mateo,Sequoia Union High,No,No,No,Yes,2013
436,San Mateo High,Public,12-Sep,506 N. Delaware St.,San Mateo,94401,San Mateo,San Mateo Union High,No,No,No,No,2013
473,Westmoor High,Public,12-Sep,131 W.moor Ave.,Daly City,94015,San Mateo,Jefferson Union High,No,No,No,No,2013
673,El Camino High,Public,12-Sep,1320 Mission Rd.,South San Francisco,94080,San Mateo,South San Francisco Unified,No,No,No,No,2013
738,Woodside High,Public,12-Sep,199 Churchill Ave.,Woodside,94062,San Mateo,Sequoia Union High,No,No,No,Yes,2013
773,South San Francisco High,Public,12-Sep,400 B St.,South San Francisco,94080,San Mateo,South San Francisco Unified,No,No,No,No,2013
863,Pescadero High,Public,12-Sep,350 Butano Cut Off,Pescadero,94060,San Mateo,La Honda-Pescadero Unified,No,No,No,Yes,2013
1081,Jefferson High,Public,12-Sep,6996 Mission St.,Daly City,94014,San Mateo,Jefferson Union High,No,No,No,Yes,2013
1643,Thornton High,Public,12-Sep,115 First Ave.,Daly City,94014,San Mateo,Jefferson Union High,No,No,No,No,2013
1829,Redwood High,Public,12-Sep,1968 Old Co Rd.,Redwood City,94063,San Mateo,Sequoia Union High,No,No,No,Yes,2013
