,City,Year,Citywise_CrimeTotal,Crime Rate
88,RANCHO CUCAMONGA,2017,2267,0.6990764296837658
89,RANCHO CUCAMONGA,2018,2024,0.6530401535805894
90,RIALTO5,2017,1030,0.3176218449820374
91,RIALTO5,2018,1651,0.5326923387161824
92,RICHMOND,2017,2650,0.8171824167013583
93,RICHMOND,2018,2557,0.8250116960007744
94,RIVERSIDE,2017,6061,1.8690349538214843
95,RIVERSIDE,2018,6000,1.9358897833416684
96,ROSEVILLE,2017,1815,0.5596928627596096
97,ROSEVILLE,2018,1839,0.5933502185942214
98,SACRAMENTO,2017,8990,2.7722528023189477
99,SACRAMENTO,2018,9255,2.9861099908045237
100,SALINAS,2017,2855,0.8803984149744823
101,SALINAS,2018,2629,0.8482423734008744
102,SAN BERNARDINO,2017,5463,1.6846292612979323
103,SAN BERNARDINO,2018,5512,1.778437414296546
104,SAN DIEGO,2017,15688,4.837719906872041
105,SAN DIEGO,2018,15613,5.0375078645522455
106,SAN FRANCISCO,2017,30723,9.474073731439937
107,SAN FRANCISCO,2018,26619,8.588575023795311
108,SAN JOSE,2017,14444,4.4541067271073285
109,SAN JOSE,2018,15095,4.8703760465904145
110,SAN MATEO,2017,1126,0.34722543441725645
111,SAN MATEO,2018,1212,0.39104973623501704
112,SANTA ANA,2017,4556,1.4049370152797693
113,SANTA ANA,2018,3802,1.2267088260441705
114,SANTA CLARA,2017,1626,0.5014107960590222
115,SANTA CLARA,2018,1723,0.5559230161162825
116,SANTA CLARITA,2017,1810,0.5581510091431919
117,SANTA CLARITA,2018,1464,0.47235710713536705
118,SANTA MARIA,2017,1442,0.4446705829748524
119,SANTA MARIA,2018,1270,0.40976333747398647
120,SANTA ROSA,2017,1942,0.5988559446166182
121,SANTA ROSA,2018,1945,0.6275509380999242
122,SIMI VALLEY,2017,998,0.3077539818369644
123,SIMI VALLEY,2018,912,0.2942552470679336
124,STOCKTON,2017,7885,2.4315031530906457
125,STOCKTON,2018,7669,2.4743897914078756
126,SUNNYVALE,2017,1331,0.4104414326903804
127,SUNNYVALE,2018,1381,0.4455772984658073
128,TEMECULA,2017,1492,0.46008911913902895
129,TEMECULA,2018,1399,0.4513849678158323
130,THOUSAND OAKS,2017,910,0.28061735818801364
131,THOUSAND OAKS,2018,758,0.24456740929549745
132,TORRANCE,2017,1692,0.5217632637957352
133,TORRANCE,2018,1478,0.47687418329649767
134,VALLEJO,2017,2910,0.8973588047550765
135,VALLEJO,2018,2498,0.8059754464645812
136,VENTURA,2017,2053,0.6330850949010901
137,VENTURA,2018,1951,0.6294868278832658
138,VICTORVILLE,2017,2117,0.6528208211912361
139,VICTORVILLE,2018,1793,0.5785083969219352
140,VISALIA,2017,2374,0.7320720970751037
141,VISALIA,2018,2263,0.7301530966170325
142,VISTA,2017,935,0.2883266262701019
143,VISTA,2018,890,0.2871569845290141
144,WEST COVINA,2017,1416,0.4366529441694806
145,WEST COVINA,2018,1390,0.4484811331408199
